ProblemType,Algorithm,Method,Accuracy
linear,pgmpy-mmhc,DTCent,0.653
linear,pgmpy-mmhc,RFCgini,0.707
linear,pgmpy-mmhc,RFCent,0.715
linear,pgmpy-mmhc,LRnone,0.711
linear,pgmpy-mmhc,LRl1,0.711
linear,pgmpy-mmhc,LRl2,0.711
linear,pgmpy-mmhc,LRmix,0.711
linear,pgmpy-mmhc,BNB,0.711
linear,pgmpy-mmhc,GNB,0.711
linear,pgmpy-mmhc,MnNB,0.702
linear,pgmpy-mmhc,CNB,0.653
linear,pgmpy-mmhc,SVMsig,0.544
linear,pgmpy-mmhc,SVMpoly,0.703
linear,pgmpy-mmhc,SVMrbf,0.781
linear,pgmpy-mmhc,KNCunif,0.442
linear,pgmpy-mmhc,KNCdist,0.442
linear,pomegranate-exact,DTCgini,0.909
linear,pomegranate-exact,DTCent,0.909
linear,pomegranate-exact,RFCgini,0.909
linear,pomegranate-exact,RFCent,0.909
linear,pomegranate-exact,LRnone,0.909
linear,pomegranate-exact,LRl1,0.909
linear,pomegranate-exact,LRl2,0.909
linear,pomegranate-exact,LRmix,0.909
linear,pomegranate-exact,BNB,0.909
linear,pomegranate-exact,GNB,0.66
linear,pomegranate-exact,MnNB,0.836
linear,pomegranate-exact,CNB,0.858
linear,pomegranate-exact,SVMsig,0.852
linear,pomegranate-exact,SVMpoly,0.909
linear,pomegranate-exact,SVMrbf,0.909
linear,pomegranate-exact,KNCunif,0.909
linear,pomegranate-exact,KNCdist,0.909
linear,pomegranate-greedy,DTCgini,0.909
linear,pomegranate-greedy,DTCent,0.909
linear,pomegranate-greedy,RFCgini,0.909
linear,pomegranate-greedy,RFCent,0.909
linear,pomegranate-greedy,LRnone,0.909
linear,pomegranate-greedy,LRl1,0.909
linear,pomegranate-greedy,LRl2,0.909
linear,pomegranate-greedy,LRmix,0.909
linear,pomegranate-greedy,BNB,0.909
linear,pomegranate-greedy,GNB,0.794
linear,pomegranate-greedy,MnNB,0.836
linear,pomegranate-greedy,CNB,0.913
linear,pomegranate-greedy,SVMsig,0.848
linear,pomegranate-greedy,SVMpoly,0.909
linear,pomegranate-greedy,SVMrbf,0.909
linear,pomegranate-greedy,KNCunif,0.897
linear,pomegranate-greedy,KNCdist,0.897
linear,bnlearn-hc,DTCgini,0.836
linear,bnlearn-hc,DTCent,0.836
linear,bnlearn-hc,RFCgini,0.836
linear,bnlearn-hc,RFCent,0.836
linear,bnlearn-hc,LRnone,0.836
linear,bnlearn-hc,LRl1,0.836
linear,bnlearn-hc,LRl2,0.836
linear,bnlearn-hc,LRmix,0.836
linear,bnlearn-hc,BNB,0.541
linear,bnlearn-hc,GNB,0.836
linear,bnlearn-hc,MnNB,0.0
linear,bnlearn-hc,CNB,0.448
linear,bnlearn-hc,SVMsig,0.836
linear,bnlearn-hc,SVMpoly,0.836
linear,bnlearn-hc,SVMrbf,0.421
linear,bnlearn-hc,KNCunif,0.836
linear,bnlearn-hc,KNCdist,0.836
linear,bnlearn-tabu,DTCgini,0.836
linear,bnlearn-tabu,DTCent,0.836
linear,bnlearn-tabu,RFCgini,0.836
linear,bnlearn-tabu,RFCent,0.836
linear,bnlearn-tabu,LRnone,0.836
linear,bnlearn-tabu,LRl1,0.836
linear,bnlearn-tabu,LRl2,0.836
linear,bnlearn-tabu,LRmix,0.836
linear,bnlearn-tabu,BNB,0.541
linear,bnlearn-tabu,GNB,0.836
linear,bnlearn-tabu,MnNB,0.0
linear,bnlearn-tabu,CNB,0.402
linear,bnlearn-tabu,SVMsig,0.836
linear,bnlearn-tabu,SVMpoly,0.836
linear,bnlearn-tabu,SVMrbf,0.746
linear,bnlearn-tabu,KNCunif,0.836
linear,bnlearn-tabu,KNCdist,0.836
linear,bnlearn-mmhc,DTCgini,0.0
linear,bnlearn-mmhc,DTCent,0.0
linear,bnlearn-mmhc,RFCgini,0.0
linear,bnlearn-mmhc,RFCent,0.0
linear,bnlearn-mmhc,LRnone,0.716
linear,bnlearn-mmhc,LRl1,0.34
linear,bnlearn-mmhc,LRl2,0.716
linear,bnlearn-mmhc,LRmix,0.716
linear,bnlearn-mmhc,BNB,0.541
linear,bnlearn-mmhc,GNB,0.774
linear,bnlearn-mmhc,MnNB,0.0
linear,bnlearn-mmhc,CNB,0.44
linear,bnlearn-mmhc,SVMsig,0.836
linear,bnlearn-mmhc,SVMpoly,0.0
linear,bnlearn-mmhc,SVMrbf,0.0
linear,bnlearn-mmhc,KNCunif,0.0
linear,bnlearn-mmhc,KNCdist,0.0
linear,bnlearn-rsmax2,DTCgini,0.836
linear,bnlearn-rsmax2,DTCent,0.836
linear,bnlearn-rsmax2,RFCgini,0.836
linear,bnlearn-rsmax2,RFCent,0.836
linear,bnlearn-rsmax2,LRnone,0.836
linear,bnlearn-rsmax2,LRl1,0.836
linear,bnlearn-rsmax2,LRl2,0.836
linear,bnlearn-rsmax2,LRmix,0.836
linear,bnlearn-rsmax2,BNB,0.541
linear,bnlearn-rsmax2,GNB,0.836
linear,bnlearn-rsmax2,MnNB,0.0
linear,bnlearn-rsmax2,CNB,0.534
linear,bnlearn-rsmax2,SVMsig,0.836
linear,bnlearn-rsmax2,SVMpoly,0.836
linear,bnlearn-rsmax2,SVMrbf,0.179
linear,bnlearn-rsmax2,KNCunif,0.836
linear,bnlearn-rsmax2,KNCdist,0.836
non-linear,notears-logistic,DTCgini,0.97
non-linear,notears-logistic,DTCent,0.97
non-linear,notears-logistic,RFCgini,0.97
non-linear,notears-logistic,RFCent,0.97
non-linear,notears-logistic,LRnone,0.97
non-linear,notears-logistic,LRl1,0.97
non-linear,notears-logistic,LRl2,0.97
non-linear,notears-logistic,LRmix,0.97
non-linear,notears-logistic,BNB,0.97
non-linear,notears-logistic,GNB,0.965
non-linear,notears-logistic,MnNB,0.97
non-linear,notears-logistic,CNB,0.666
non-linear,notears-logistic,SVMsig,0.97
non-linear,notears-logistic,SVMpoly,0.97
non-linear,notears-logistic,SVMrbf,0.97
non-linear,notears-logistic,KNCunif,0.965
non-linear,notears-logistic,KNCdist,0.965
non-linear,notears-l2,DTCgini,0.785
non-linear,notears-l2,DTCent,0.785
non-linear,notears-l2,RFCgini,0.785
non-linear,notears-l2,RFCent,0.724
non-linear,notears-l2,LRnone,0.658
non-linear,notears-l2,LRl1,0.658
non-linear,notears-l2,LRl2,0.658
