ProblemType,Algorithm,Method,Accuracy
sparse,bnlearn-tabu,CNB,0.495
sparse,bnlearn-tabu,SVMsig,0.837
sparse,bnlearn-tabu,SVMpoly,0.837
sparse,bnlearn-tabu,SVMrbf,0.204
sparse,bnlearn-tabu,KNCunif,0.837
sparse,bnlearn-tabu,KNCdist,0.837
sparse,bnlearn-mmhc,DTCgini,0.0
sparse,bnlearn-mmhc,DTCent,0.0
sparse,bnlearn-mmhc,RFCgini,0.0
sparse,bnlearn-mmhc,RFCent,0.0
sparse,bnlearn-mmhc,LRnone,0.837
sparse,bnlearn-mmhc,LRl1,0.802
sparse,bnlearn-mmhc,LRl2,0.837
sparse,bnlearn-mmhc,LRmix,0.837
sparse,bnlearn-mmhc,BNB,0.53
sparse,bnlearn-mmhc,GNB,0.837
sparse,bnlearn-mmhc,MnNB,0.0
sparse,bnlearn-mmhc,CNB,0.45
sparse,bnlearn-mmhc,SVMsig,0.837
sparse,bnlearn-mmhc,SVMpoly,0.623
sparse,bnlearn-mmhc,SVMrbf,0.0
sparse,bnlearn-mmhc,KNCunif,0.0
sparse,bnlearn-mmhc,KNCdist,0.0
sparse,bnlearn-rsmax2,DTCgini,0.0
sparse,bnlearn-rsmax2,DTCent,0.0
sparse,bnlearn-rsmax2,RFCgini,0.0
sparse,bnlearn-rsmax2,RFCent,0.0
sparse,bnlearn-rsmax2,LRnone,0.837
sparse,bnlearn-rsmax2,LRl1,0.837
sparse,bnlearn-rsmax2,LRl2,0.837
sparse,bnlearn-rsmax2,LRmix,0.837
sparse,bnlearn-rsmax2,BNB,0.53
sparse,bnlearn-rsmax2,GNB,0.837
sparse,bnlearn-rsmax2,MnNB,0.0
sparse,bnlearn-rsmax2,CNB,0.477
sparse,bnlearn-rsmax2,SVMsig,0.744
sparse,bnlearn-rsmax2,SVMpoly,0.0
sparse,bnlearn-rsmax2,SVMrbf,0.0
sparse,bnlearn-rsmax2,KNCunif,0.0
sparse,bnlearn-rsmax2,KNCdist,0.0
dimension,notears-logistic,DTCgini,0.809
dimension,notears-logistic,DTCent,0.814
dimension,notears-logistic,RFCgini,0.827
dimension,notears-logistic,RFCent,0.83
dimension,notears-logistic,LRnone,0.875
dimension,notears-logistic,LRl1,0.868
dimension,notears-logistic,LRl2,0.868
dimension,notears-logistic,LRmix,0.871
dimension,notears-logistic,BNB,0.848
dimension,notears-logistic,GNB,0.868
dimension,notears-logistic,MnNB,0.803
dimension,notears-logistic,CNB,0.675
dimension,notears-logistic,SVMsig,0.738
dimension,notears-logistic,SVMpoly,0.851
dimension,notears-logistic,SVMrbf,0.842
dimension,notears-logistic,KNCunif,0.847
dimension,notears-logistic,KNCdist,0.823
dimension,notears-l2,DTCgini,0.454
dimension,notears-l2,DTCent,0.461
dimension,notears-l2,RFCgini,0.54
dimension,notears-l2,RFCent,0.555
dimension,notears-l2,LRnone,0.663
dimension,notears-l2,LRl1,0.649
dimension,notears-l2,LRl2,0.663
dimension,notears-l2,LRmix,0.664
dimension,notears-l2,BNB,0.674
dimension,notears-l2,GNB,0.676
dimension,notears-l2,MnNB,0.591
dimension,notears-l2,CNB,0.52
dimension,notears-l2,SVMsig,0.447
dimension,notears-l2,SVMpoly,0.618
dimension,notears-l2,SVMrbf,0.646
dimension,notears-l2,KNCunif,0.489
dimension,notears-l2,KNCdist,0.479
dimension,notears-poisson,DTCgini,0.424
dimension,notears-poisson,DTCent,0.431
dimension,notears-poisson,RFCgini,0.499
dimension,notears-poisson,RFCent,0.505
dimension,notears-poisson,LRnone,0.487
dimension,notears-poisson,LRl1,0.496
dimension,notears-poisson,LRl2,0.489
dimension,notears-poisson,LRmix,0.491
dimension,notears-poisson,BNB,0.522
dimension,notears-poisson,GNB,0.517
dimension,notears-poisson,MnNB,0.529
dimension,notears-poisson,CNB,0.511
dimension,notears-poisson,SVMsig,0.436
dimension,notears-poisson,SVMpoly,0.541
dimension,notears-poisson,SVMrbf,0.557
dimension,notears-poisson,KNCunif,0.503
dimension,notears-poisson,KNCdist,0.486
dimension,pgmpy-hc,DTCgini,0.473
dimension,pgmpy-hc,DTCent,0.48
dimension,pgmpy-hc,RFCgini,0.561
dimension,pgmpy-hc,RFCent,0.577
dimension,pgmpy-hc,LRnone,0.668
dimension,pgmpy-hc,LRl1,0.664
dimension,pgmpy-hc,LRl2,0.665
dimension,pgmpy-hc,LRmix,0.674
dimension,pgmpy-hc,BNB,0.658
dimension,pgmpy-hc,GNB,0.658
dimension,pgmpy-hc,MnNB,0.666
dimension,pgmpy-hc,CNB,0.555
dimension,pgmpy-hc,SVMsig,0.409
dimension,pgmpy-hc,SVMpoly,0.552
dimension,pgmpy-hc,SVMrbf,0.609
dimension,pgmpy-hc,KNCunif,0.545
dimension,pgmpy-hc,KNCdist,0.514
dimension,pgmpy-tree,DTCgini,0.511
dimension,pgmpy-tree,DTCent,0.506
dimension,pgmpy-tree,RFCgini,0.551
dimension,pgmpy-tree,RFCent,0.561
dimension,pgmpy-tree,LRnone,0.733
dimension,pgmpy-tree,LRl1,0.757
dimension,pgmpy-tree,LRl2,0.737
dimension,pgmpy-tree,LRmix,0.744
dimension,pgmpy-tree,BNB,0.746
dimension,pgmpy-tree,GNB,0.746
dimension,pgmpy-tree,MnNB,0.796
dimension,pgmpy-tree,CNB,0.539
dimension,pgmpy-tree,SVMsig,0.472
dimension,pgmpy-tree,SVMpoly,0.569
dimension,pgmpy-tree,SVMrbf,0.652
dimension,pgmpy-tree,KNCunif,0.536
dimension,pgmpy-tree,KNCdist,0.512
dimension,pgmpy-mmhc,DTCgini,0.457
dimension,pgmpy-mmhc,DTCent,0.459
dimension,pgmpy-mmhc,RFCgini,0.503
dimension,pgmpy-mmhc,RFCent,0.511
dimension,pgmpy-mmhc,LRnone,0.626
dimension,pgmpy-mmhc,LRl1,0.616
dimension,pgmpy-mmhc,LRl2,0.632
dimension,pgmpy-mmhc,LRmix,0.628
dimension,pgmpy-mmhc,BNB,0.621
dimension,pgmpy-mmhc,GNB,0.621
dimension,pgmpy-mmhc,MnNB,0.646
dimension,pgmpy-mmhc,CNB,0.516
dimension,pgmpy-mmhc,SVMsig,0.408
dimension,pgmpy-mmhc,SVMpoly,0.507
dimension,pgmpy-mmhc,SVMrbf,0.509
dimension,pgmpy-mmhc,KNCunif,0.499
dimension,pgmpy-mmhc,KNCdist,0.477
dimension,pomegranate-exact,DTCgini,0.775
dimension,pomegranate-exact,DTCent,0.775
dimension,pomegranate-exact,RFCgini,0.807
dimension,pomegranate-exact,RFCent,0.804
dimension,pomegranate-exact,LRnone,0.833
dimension,pomegranate-exact,LRl1,0.829
dimension,pomegranate-exact,LRl2,0.831
dimension,pomegranate-exact,LRmix,0.832
dimension,pomegranate-exact,BNB,0.821
dimension,pomegranate-exact,GNB,0.74
dimension,pomegranate-exact,MnNB,0.797
dimension,pomegranate-exact,CNB,0.756
dimension,pomegranate-exact,SVMsig,0.717
dimension,pomegranate-exact,SVMpoly,0.788
dimension,pomegranate-exact,SVMrbf,0.824
dimension,pomegranate-exact,KNCunif,0.8
dimension,pomegranate-exact,KNCdist,0.787
dimension,pomegranate-greedy,DTCgini,0.816
dimension,pomegranate-greedy,DTCent,0.815
dimension,pomegranate-greedy,RFCgini,0.811
dimension,pomegranate-greedy,RFCent,0.808
dimension,pomegranate-greedy,LRnone,0.844
dimension,pomegranate-greedy,LRl1,0.841
dimension,pomegranate-greedy,LRl2,0.842
dimension,pomegranate-greedy,LRmix,0.846
dimension,pomegranate-greedy,BNB,0.843
dimension,pomegranate-greedy,GNB,0.705
dimension,pomegranate-greedy,MnNB,0.8
dimension,pomegranate-greedy,CNB,0.753
dimension,pomegranate-greedy,SVMsig,0.727
dimension,pomegranate-greedy,SVMpoly,0.806
dimension,pomegranate-greedy,SVMrbf,0.822
dimension,pomegranate-greedy,KNCunif,0.797
dimension,pomegranate-greedy,KNCdist,0.788
dimension,bnlearn-hc,DTCgini,0.803
dimension,bnlearn-hc,DTCent,0.803
dimension,bnlearn-hc,RFCgini,0.803
dimension,bnlearn-hc,RFCent,0.803
dimension,bnlearn-hc,LRnone,0.708
dimension,bnlearn-hc,LRl1,0.803
dimension,bnlearn-hc,LRl2,0.803
dimension,bnlearn-hc,LRmix,0.803
dimension,bnlearn-hc,BNB,0.0
dimension,bnlearn-hc,GNB,0.803
dimension,bnlearn-hc,MnNB,0.071
dimension,bnlearn-hc,CNB,0.346
dimension,bnlearn-hc,SVMsig,0.803
dimension,bnlearn-hc,SVMpoly,0.634
dimension,bnlearn-hc,SVMrbf,0.701
dimension,bnlearn-hc,KNCunif,0.752
dimension,bnlearn-hc,KNCdist,0.752
dimension,bnlearn-tabu,DTCgini,0.803
dimension,bnlearn-tabu,DTCent,0.803
dimension,bnlearn-tabu,RFCgini,0.803
dimension,bnlearn-tabu,RFCent,0.803
dimension,bnlearn-tabu,LRnone,0.803
dimension,bnlearn-tabu,LRl1,0.803
dimension,bnlearn-tabu,LRl2,0.803
dimension,bnlearn-tabu,LRmix,0.803
dimension,bnlearn-tabu,BNB,0.789
dimension,bnlearn-tabu,GNB,0.803
dimension,bnlearn-tabu,MnNB,0.014
dimension,bnlearn-tabu,CNB,0.383
dimension,bnlearn-tabu,SVMsig,0.803
dimension,bnlearn-tabu,SVMpoly,0.561
dimension,bnlearn-tabu,SVMrbf,0.53
dimension,bnlearn-tabu,KNCunif,0.759
dimension,bnlearn-tabu,KNCdist,0.759
dimension,bnlearn-mmhc,DTCgini,0.0
dimension,bnlearn-mmhc,DTCent,0.0
dimension,bnlearn-mmhc,RFCgini,0.0
dimension,bnlearn-mmhc,RFCent,0.0
dimension,bnlearn-mmhc,LRnone,0.703
dimension,bnlearn-mmhc,LRl1,0.803
dimension,bnlearn-mmhc,LRl2,0.803
dimension,bnlearn-mmhc,LRmix,0.803
dimension,bnlearn-mmhc,BNB,0.0
dimension,bnlearn-mmhc,GNB,0.803
dimension,bnlearn-mmhc,MnNB,0.129
dimension,bnlearn-mmhc,CNB,0.373
dimension,bnlearn-mmhc,SVMsig,0.803
dimension,bnlearn-mmhc,SVMpoly,0.728
dimension,bnlearn-mmhc,SVMrbf,0.642
dimension,bnlearn-mmhc,KNCunif,0.243
dimension,bnlearn-mmhc,KNCdist,0.243
dimension,bnlearn-rsmax2,DTCgini,0.0
dimension,bnlearn-rsmax2,DTCent,0.0
dimension,bnlearn-rsmax2,RFCgini,0.0
dimension,bnlearn-rsmax2,RFCent,0.0
dimension,bnlearn-rsmax2,LRnone,0.803
dimension,bnlearn-rsmax2,LRl1,0.803
dimension,bnlearn-rsmax2,LRl2,0.803
dimension,bnlearn-rsmax2,LRmix,0.803
dimension,bnlearn-rsmax2,BNB,0.789
dimension,bnlearn-rsmax2,GNB,0.803
dimension,bnlearn-rsmax2,MnNB,0.056
dimension,bnlearn-rsmax2,CNB,0.4
dimension,bnlearn-rsmax2,SVMsig,0.803
dimension,bnlearn-rsmax2,SVMpoly,0.362
dimension,bnlearn-rsmax2,SVMrbf,0.026
dimension,bnlearn-rsmax2,KNCunif,0.346
dimension,bnlearn-rsmax2,KNCdist,0.339
